Informant #,Project,Age,Sex,County,City/Town,State,Latitude,Longitude ,Education,Occupation,Ethnicity,Field worker,Year interviewed,Notes,
KY1A,LANCS,66,Male,Livingston,Smithland,KY,37.1389,-88.4034,Between 1 and 8 yrs.,Farmer,White,"Hopkins, Jerry",1962,"also, 162.1; aux. inf.: Farmer, 72 ",
KY1B,LANCS,45,Male,Livingston,Smithland,KY,37.1389,-88.4034,At least some high school,"Manager, official, or proprietor",White,"Thompson, Robert M.",1962,state forestry service supervisor,
KY1C,LANCS,23,Male,Livingston,Hampton,KY,37.1659,-88.2217,At least some college or beyond,Student,White,"McDavid, Raven",1954,"also, 162.3",
KY2A,LANCS,63,Male,Webster,Dixon,KY,37.5178,-87.6903,Between 1 and 8 yrs.,Farmer,White,"Hopkins, Jerry",1962,"also, 163.1",
KY2B,LANCS,50+,Male,Webster,Sebree,KY,37.6070,-87.5286,At least some high school,Farmer,White,"Thompson, Robert M.",1962,"also, 163.2; also, dept. of agriculture employee",
KY3A,LANCS,43,Male,Hancock,Hawesville,KY,37.9001,-86.7550,Between 1 and 8 yrs.,Farmer,White,"Howren, Robert R.",1955,"also, 164.2; sharecropper",
KY3B,LANCS,45,Male,Hancock,Hawesville,KY,37.9001,-86.7550,At least some high school,Craftsman or foreman,White,"Howren, Robert R.",1955,"also, 164.21; electrician, sheriff",
KY4,LANCS,74,Male,Meade,Brandenburg,KY,37.9990,-86.1694,Unknown,Unknown,White,"Boggs, K. K.",1933,"""Old-fashioned""; LONG worksheets",
KY5A,LANCS,82,Male,Hardin,Vertrees,KY,37.6965,-86.1344,Between 1 and 8 yrs.,Farmer,White,"Thompson, Robert M.",1962,"also, 164B.1; aux. inf.: wife",
KY5B,LANCS,77,Male,Hardin,West Point,KY,37.5930,-85.5716,Unknown,Unknown,White,"Thompson, Robert M.",1962,,
KY6A,LANCS,70,Male,Bullitt,Bardstown Junction,KY,37.5624,-85.4158,Between 1 and 8 yrs.,Farmer,White,"Thompson, Robert M.",1962,"also, 165.1; aux. inf.: wife",
KY6B,LANCS,67,Female,Bullitt,Bardstown Junction,KY,37.5624,-85.4158,At least some high school,Keeping house,White,"Howren, Robert R.",1955,"also, 165.2",
KY7NA,LANCS,54,Male,Jefferson,Jeffersontown,KY,38.1942,-85.5644,Between 1 and 8 yrs.,Service worker,Black or African American,"McDavid, Raven",1952,"also, 166N.1; janitor, also former farmer, truck driver",
KY7AA,LANCS,65,Male,Jefferson,Louisville,KY,38.2527,-85.7585,Between 1 and 8 yrs.,Operative,White,"Howren, Robert R.",1956-1957,factory worker,
KY7B,LANCS,76,Male,Jefferson,Louisville,KY,38.2527,-85.7585,Between 1 and 8 yrs.,Service worker,White,"McDavid, Raven",1952,"also, 166.1; barber",
KY7BA,LANCS,53,Male,Jefferson,Louisville,KY,38.2527,-85.7585,Between 1 and 8 yrs.,Operative,White,"Howren, Robert R.",1956-1957,printer,
KY7C,LANCS,69,Female,Jefferson,Louisville,KY,38.2527,-85.7585,At least some high school,Keeping house,White,"McDavid, Raven",1952,"also, 166.3; Jewish",
KY7D,LANCS,22,Female,Jefferson,Louisville,KY,38.2527,-85.7585,At least some college or beyond,Keeping house,White,"McDavid, Raven",1954,"also, 166.32",
KY7NE,LANCS,64,Female,Jefferson,Windy Hills,KY,38.1600,-85.3816,At least some college or beyond,Keeping house,Black or African American,"Howren, Robert R.",1956-1957,"also, former teacher",
KY7F,LANCS,49,Male,Jefferson,Windy Hills,KY,38.1600,-85.3816,At least some college or beyond,Professional & technical,White,"Howren, Robert R.",1956-1957,lawyer and former mayor; law school at U. of Louisville,
KY8A,LANCS,72,Male,Owen,Squiresville,KY,38.5423,-84.9547,Between 1 and 8 yrs.,Farmer,White,"McDavid, Raven",1954,"also, 167.1; usually hw",
KY8B,LANCS,83,Male,Owen,Monterey,KY,38.2521,-84.5221,Between 1 and 8 yrs.,Farmer,White,"McDavid, Raven",1954,"also, 167.11",
KY8C,LANCS,55,Female,Owen,New Liberty,KY,38.3657,-84.5424,At least some high school,Unknown,White,"McDavid, Raven",1954,"also, 167.2; aux. inf.: Male, soil conservation director",
KY9A,LANCS,84,Male,Lewis,Cabin Creek,KY,38.3713,-83.3716,At least some high school,Farmer,White,"McDavid, Raven",1955,"also, 170.1; used coords of cabin creek covered bridge",
KY9B,LANCS,55,Female,Mason,Maysville,KY,38.6412,-83.7444,At least some high school,Keeping house,White,"McDavid, Raven",1951,"also, 170.2",
KY9C,LANCS,28,Male,Mason,Maysville,KY,38.6412,-83.7444,At least some college or beyond,Student,White,"Davis, Alva L.",1952,"also, 170.3; linguistics student",
KY10A,LANCS,76,Male,Carter,Grayson,KY,38.3326,-82.9485,Between 1 and 8 yrs.,Farmer,White,"Avis, Walter S.",1955,"also, 171.1, 1A; ""old-fashioned grammar and pronunciation""",
KY10B,LANCS,85,Female,Carter,Grayson,KY,38.3326,-82.9485,Between 1 and 8 yrs.,Keeping house,White,"McDavid, Raven",1953,"also, 171.2, 1b; aux. inf.: Female, b. and resided here",
KY11A,LANCS,73,Male,Muhlenberg,Greenville,KY,37.2012,-87.1789,Between 1 and 8 yrs.,Farmer,White,"McDavid, Raven",1962,"also, 174.1",
KY11B,LANCS,61,Male,Muhlenberg,Greenville,KY,37.2012,-87.1789,At least some high school,Farmer,White,"Hopkins, Jerry",1962,"also, 174.2; also, supervisor of soil conservation district",
KY12A,LANCS,92,Male,Grayson,Shrewsbury,KY,37.3789,-86.3847,At least some college or beyond,Farmer,White,"Hopkins, Jerry",1955,"also, 174A.1; also, lumberman and landowner; one yr. med school, 1 yr. law school",
KY12B,LANCS,92,Male,Grayson,Salt Lick,KY,38.1201,-83.6146,Between 1 and 8 yrs.,Farmer,White,"McDavid, Raven",1955,"also, 174A.11; incomplete record",
KY12C,LANCS,74,Male,Grayson,Leitchfield,KY,37.4801,-86.2939,Between 1 and 8 yrs.,Farmer,White,"McDavid, Raven",1955,"also, 174A.12; also, feed salesman; incomplete record",
KY12D,LANCS,75,Male,Grayson,Leitchfield,KY,37.4801,-86.2939,At least some college or beyond,Teacher,White,"McDavid, Raven",1955,"also, 174A.2",
