Informant,Project,Sex,Age,Ethnicity,Education_level,Occupation,Town/City,County,State,Latitude,Longitude,Fieldworker,Year_interviewed,Notes
NY1,LAMSAS,Male,53,White,At least some high school,Farmer,Southhold,Suffolk,NY,41.13889,-72.30389,"Lowman, Guy",1933,
NY2A,LAMSAS,Male,63,White,No formal schooling,Farmer,Easthampton,Suffolk,NY,40.965,-72.185,"Lowman, Guy",1933,
NY2B,LAMSAS,Male,85,White,At least some high school,Farmer,Southhampton,Suffolk,NY,40.92528,-72.27861,"Lowman, Guy",1933,
NY2C,LAMSAS,Female,80,White,Between 1 and 8 years,Keeping house,Southhampton,Suffolk,NY,40.93778,-72.30139,"Lowman, Guy",1933,
NY3A,LAMSAS,Male,71,White,At least some high school,Farmer,Brookhaven,Suffolk,NY,40.77917,-72.91583,"Lowman, Guy",1941,
NY3B,LAMSAS,Male,70,White,At least some high school,Farmer,Huntington,Suffolk,NY,40.86806,-73.42611,"Lowman, Guy",1941,
NY3C,LAMSAS,Male,50,White,At least some high school,Farmer,Brookhaven,Suffolk,NY,40.86861,-73.00195,"Lowman, Guy",1941,
NY3D,LAMSAS,Male,48,White,At least some high school,Farmer,Huntington,Suffolk,NY,40.9125,-73.30139,"Lowman, Guy",1941,
NY4A,LAMSAS,Male,69,White,Between 1 and 8 years,Farmer,Oyster Bay,Nassau,NY,40.82833,-73.62861,"Lowman, Guy",1941,
NY4B,LAMSAS,Male,79,White,Between 1 and 8 years,Operative,Freeport,Nassau,NY,40.6575,-73.58361,"Lowman, Guy",1941,
NY4C,LAMSAS,Male,51,White,At least some high school,Farmer,Hempstead,Nassau,NY,40.7125,-73.55889,"Lowman, Guy",1941,
NY5A,LAMSAS,Female,70,White,At least some high school,Keeping house,Brooklyn,Kings,NY,40.62111,-73.93528,"Lowman, Guy",1941,
NY5B,LAMSAS,Male,32,White,At least some high school,Clerical or sales position,Brooklyn,Kings,NY,40.66666,-73.95,"Lowman, Guy",1941,
NY5C,LAMSAS,Female,51,White,At least some high school,Keeping house,Brooklyn,Kings,NY,40.67667,-73.84417,"Lowman, Guy",1941,
NY5D,LAMSAS,Male,64,White,Between 1 and 8 years,Public Servant,Brooklyn,Kings,NY,40.68333,-73.91666,"Lowman, Guy",1941,
NY5E,LAMSAS,Female,82,White,Between 1 and 8 years,Keeping house,Brooklyn,Kings,NY,40.66667,-73.95944,"Lowman, Guy",1941,
NY5F,LAMSAS,Male,53,White,Between 1 and 8 years,Clerical or sales position,Brooklyn,Kings,NY,40.66667,-73.9875,"Lowman, Guy",1941,
NY5G,LAMSAS,Male,50,White,At least some high school,"Manager, official, or proprietor",Brooklyn,Kings,NY,40.625,-74,"Lowman, Guy",1941,
NY5H!,LAMSAS,Male,68,White,At least some college or beyond,Professional or technical job,Brooklyn,Kings,NY,40.69528,-73.99416,"Lowman, Guy",1941,
NY5I!,LAMSAS,Male,54,White,At least some college or beyond,Professional or technical job,Brooklyn,Kings,NY,40.76528,-73.81778,"Lowman, Guy",1941,
NY6A,LAMSAS,Female,76,White,Between 1 and 8 years,Keeping house,Staten Island,Richmond,NY,40.53722,-74.195,"Lowman, Guy",1941,
NY6B,LAMSAS,Female,48,White,At least some high school,Keeping house,Staten Island,Richmond,NY,40.51056,-74.24306,"Lowman, Guy",1941,
NY7A,LAMSAS,Male,45,White,Between 1 and 8 years,Laborer,Manhattan,New York,NY,40.71417,-74.00639,"Lowman, Guy",1941,
NY7B,LAMSAS,Male,39,White,Between 1 and 8 years,Operative,Manhattan,New York,NY,40.8125,-73.95,"Lowman, Guy",1941,
NY7C,LAMSAS,Female,43,White,Between 1 and 8 years,Keeping house,Manhattan,New York,NY,40.80139,-73.96389,"Lowman, Guy",1941,
NY7D,LAMSAS,Female,79,White,Between 1 and 8 years,Keeping house,Manhattan,New York,NY,40.83333,-73.94722,"Lowman, Guy",1941,
NY7E,LAMSAS,Male,63,White,At least some high school,Clerical or sales position,Manhattan,New York,NY,40.67,-73.99805,"Lowman, Guy",1941,
NY7F,LAMSAS,Female,67,White,At least some high school,Clerical or sales position,Manhattan,New York,NY,40.79722,-73.96778,"Lowman, Guy",1941,
NY7G,LAMSAS,Female,55,White,At least some high school,Keeping house,Manhattan,New York,NY,40.79167,-73.93333,"Lowman, Guy",1941,
NY7H,LAMSAS,Male,38,White,At least some high school,Clerical or sales position,Manhattan,New York,NY,40.75,-74,"Lowman, Guy",1941,
NY7I,LAMSAS,Male,85,White,Between 1 and 8 years,Clerical or sales position,Manhattan,New York,NY,40.75417,-73.97639,"Lowman, Guy",1941,
NY7J!,LAMSAS,Female,59,White,At least some high school,Other (see notes),Manhattan,New York,NY,40.76167,-73.96806,"Lowman, Guy",1941,Single woman
NY7K!,LAMSAS,Male,60,White,At least some college or beyond,Professional or technical job,Manhattan,New York,NY,40.77472,-73.95695,"Lowman, Guy",1941,
NY7L!,LAMSAS,Female,76,White,At least some high school,Professional or technical job,Manhattan,New York,NY,40.76111,-73.96778,"Lowman, Guy",1941,
NY7M!,LAMSAS,Female,62,White,At least some high school,Keeping house,Manhattan,New York,NY,40.76389,-73.97833,"Lowman, Guy",1941,
NY8,LAMSAS,Female,83,White,Between 1 and 8 years,Other (see notes),The Bronx,Bronx ,NY,40.83972,-73.87805,"Lowman, Guy",1941,"""Single homemaker"""
NY9A,LAMSAS,Female,75,White,Between 1 and 8 years,Other (see notes),Greenburgh,Westchester,NY,41.07611,-73.85917,"Lowman, Guy",1941,Widow
NY9B,LAMSAS,Male,77,White,At least some high school,Farmer,North Castle,Westchester,NY,41.20417,-73.64417,"Lowman, Guy",1941,
NY9C,LAMSAS,Female,55,White,At least some high school,Keeping house,Bedford,Westchester,NY,41.26305,-73.61389,"Lowman, Guy",1941,
NY10A,LAMSAS,Male,59,White,Unknown,Farmer,Greenville,Orange,NY,41.30194,-74.56194,"Lowman, Guy",1941,
NY10B!,LAMSAS,Female,63,White,At least some high school,Keeping house,Goshen,Orange,NY,41.40194,-74.32472,"Lowman, Guy",1941,
NY11,LAMSAS,Female,42,White,At least some college or beyond,Keeping house,Yorktown,Putnam,NY,41.33583,-73.87444,"Lowman, Guy",1941,
NY12A,LAMSAS,Female,67,White,Between 1 and 8 years,Other (see notes),East Fishkill,Dutchess,NY,41.51917,-73.69611,"Lowman, Guy",1941,widow and antique dealer
NY12B,LAMSAS,Female,55,White,At least some college or beyond,Keeping house,Union Vale,Dutchess,NY,41.70028,-73.66695,"Lowman, Guy",1941,
NY12C!,LAMSAS,Female,65,White,At least some high school,"Manager, official, or proprietor",Poughkeepsie,Dutchess,NY,41.70028,-73.92139,"Lowman, Guy",1941,
NY13A,LAMSAS,Male,81,White,At least some high school,Farmer,Saugerties,Ulster,NY,42.03861,-73.98695,"Lowman, Guy",1941,
NY13B!,LAMSAS,Female,68,White,At least some high school,Other (see notes),Hurley,Ulster,NY,41.92445,-74.06167,"Lowman, Guy",1941,"""Unmarried homemaker"""
NY14A,LAMSAS,Male,78,White,At least some high school,Farmer,Neversink,Sullivan,NY,41.84778,-74.54833,"Lowman, Guy",1941,
NY14B,LAMSAS,Male,46,White,At least some high school,Farmer,Thompson,Sullivan,NY,41.65556,-74.68972,"Lowman, Guy",1941,
NY15A,LAMSAS,Male,84,White,Between 1 and 8 years,Farmer,Jewett,Greene,NY,42.2625,-74.30139,"Lowman, Guy",1941,
NY15B,LAMSAS,Male,49,White,At least some high school,Farmer,Jewett,Greene,NY,42.27028,-74.30334,"Lowman, Guy",1941,
NY16A,LAMSAS,Male,66,White,At least some high school,Farmer,Clermont,Columbia,NY,42.085,-73.8275,"Lowman, Guy",1941,
NY16B,LAMSAS,Male,61,White,At least some high school,Farmer,Livingston,Columbia,NY,42.25278,-73.79139,"Lowman, Guy",1941,
NY17A,LAMSAS,Male,77,White,Between 1 and 8 years,Farmer,Petersburg,Rensselaer,NY,42.74944,-73.34055,"Lowman, Guy",1941,
NY17B,LAMSAS,Male,45,White,At least some high school,Farmer,Schodack,Rensselaer,NY,42.5125,-73.70611,"Lowman, Guy",1941,
NY18A,LAMSAS,Male,82,White,At least some high school,Farmer,Berne,Albany,NY,42.61639,-74.075,"Lowman, Guy",1941,
NY18B,LAMSAS,Male,49,White,Between 1 and 8 years,Operative,Guilderland,Albany,NY,42.70055,-74.03416,"Lowman, Guy",1941,
NY18C!,LAMSAS,Male,84,White,At least some high school,"Manager, official, or proprietor",Albany,Albany,NY,42.6525,-73.75667,"Lowman, Guy",1941,
NY19,LAMSAS,Male,52,White,At least some high school,Farmer,Duanesburg,Schenectady,NY,42.76194,-74.13416,"Lowman, Guy",1941,
NY20A,LAMSAS,Male,77,White,Between 1 and 8 years,Farmer,Broome,Schoharie,NY,42.53056,-74.25861,"Lowman, Guy",1941,
NY20B,LAMSAS,Male,35,White,At least some college or beyond,Farmer,Sharon,Schoharie,NY,42.79583,-74.6175,"Lowman, Guy",1941,
NY21,LAMSAS,Male,73,White,At least some high school,Farmer,Minden,Montgomery,NY,42.85917,-74.74611,"Lowman, Guy",1941,
NY22,LAMSAS,Male,51,White,At least some high school,Farmer,Mayfield,Fulton ,NY,43.05278,-74.34417,"Lowman, Guy",1941,
NY23A,LAMSAS,Male,84,White,Between 1 and 8 years,"Manager, official, or proprietor",Corinth,Saratoga ,NY,43.24445,-73.83278,"McDavid, Raven",1948,
NY23B,LAMSAS,Male,74,White,At least some high school,Farmer,Northumberland,Saratoga ,NY,43.13334,-73.60611,"McDavid, Raven",1948,
NY23C,LAMSAS,Male,75,White,At least some high school,"Manager, official, or proprietor",Northumberland,Saratoga ,NY,43.1,-73.58222,"McDavid, Raven",1948,
NY24A,LAMSAS,Male,74,White,At least some high school,Farmer,Hartford,Washington ,NY,43.36361,-73.39417,"Lowman, Guy",1941,
NY24B!,LAMSAS,Female,61,White,At least some high school,Other (see notes),Fort Edward,Washington ,NY,43.26694,-73.585,"Lowman, Guy",1941,"""Unmarried homemaker"""
NY25A,LAMSAS,Male,75,White,Between 1 and 8 years,Farmer,Johnsburg,Warren ,NY,43.61833,-73.96167,"McDavid, Raven",1948,
NY25B,LAMSAS,Male,68,White,Between 1 and 8 years,Student,Warrensburg,Warren ,NY,43.49667,-73.77666,"McDavid, Raven",1948,
NY26A,LAMSAS,Male,82,White,No formal schooling,Craftsman or foreman,Lake Pleasant,Hamilton ,NY,43.47083,-74.41306,"McDavid, Raven",1948,
